Category	Product Name	Price	URL
Office	Office Home & Business 2024 PC/Mac	£4	https://www.primelicense.com/en-gb/office/office-home-business-2024-pc-mac-1445
Office	Office LTSC Professional Plus 2024		https://www.primelicense.com/en-gb/office/office-professional-plus-2024-ltsc-1446
Office	Microsoft Visio Pro 2024 BIND		https://www.primelicense.com/en-gb/office/microsoft-visio-professional-2024-bind-1450
Office	Microsoft Project Pro 2024 BIND		https://www.primelicense.com/en-gb/office/microsoft-project-pro-2024-bind-1449
Office	Office 2021 Pro Plus	£100	https://www.primelicense.com/en-gb/office/2021-microsoft-office-professional-plus-1255
Office	Office Standard 2024 Mac		https://www.primelicense.com/en-gb/office/office-standard-2024-mac-1522
Office	Office Home & Business 2021 - Key for Mac	£70	https://www.primelicense.com/en-gb/office/office-home-business-2021-key-for-mac-1163
Office	Office 2019 Professional Plus	£67	https://www.primelicense.com/en-gb/office/office-2019-professional-plus-lifetime-license-144
Office	Office Professional Plus 2016 - Lifetime License		https://www.primelicense.com/en-gb/office/office-professional-plus-2016-lifetime-licence-1331
Operating Systems	Windows 11 Home		https://www.primelicense.com/en-gb/operating-systems/windows-11-home-1155
Operating Systems	Windows 11 Professional		https://www.primelicense.com/en-gb/operating-systems/windows-11-pro-1157
Operating Systems	Windows 10 Professional		https://www.primelicense.com/en-gb/operating-systems/windows-10-pro-1149
Operating Systems	Windows 11 Enterprise		https://www.primelicense.com/en-gb/operating-systems/windows-11-enterprise-1352
Operating Systems	Parallels Desktop 20 Edition		https://www.primelicense.com/en-gb/operating-systems/parallels-desktop-20-edition-1169
Pdf Editor	Nuance Power Advanced 2.1 PDF		https://www.primelicense.com/en-gb/pdf-editor/nuance-power-advanced-pdf-1333
Pdf Editor	Adobe Acrobat Pro 2020		https://www.primelicense.com/en-gb/pdf-editor/adobe-acrobat-2020-dc-1338
Pdf Editor	Ashampoo PDF Pro 4		https://www.primelicense.com/en-gb/pdf-editor/ashampoo-pdf-pro-4-key-1465
Pdf Editor	Nitro 10 - PDF Editor		https://www.primelicense.com/en-gb/pdf-editor/nitro-10-pdf-editor-1520
Security	AOMEI Backupper Professional		https://www.primelicense.com/en-gb/security/aomei-backupper-professional-1461
Security	EaseUS Data Recovery Wizard 18 Pro		https://www.primelicense.com/en-gb/security/easeus-data-recovery-wizard-18-pro-1463
Security	EaseUS Partition Master 18.0 Professional		https://www.primelicense.com/en-gb/security/easeus-partition-master-180-professional-1462
Server	VMware Workstation Pro 17		https://www.primelicense.com/en-gb/server/17-vmware-workstation-pro-1375
Server	Microsoft SQL Server 2022		https://www.primelicense.com/en-gb/server/windows-sql-server-2022-standard-1204
Server	VMware VSphere 8 Essentials Kit Plus		https://www.primelicense.com/en-gb/server/vmware-vsphere-essentials-kit-plus-8-lifetime-licence-1433
Server	Windows Server Standard 2025		https://www.primelicense.com/en-gb/server/windows-server-2025-standard-16-core-1456
Server	Windows Server Datacenter 2025		https://www.primelicense.com/en-gb/server/windows-server-2025-datacenter-16-core-1455
Server	Microsoft RDS Server 2025 CAL		https://www.primelicense.com/en-gb/server/microsoft-remote-desktop-services-2025-rds-1459
Server	Windows Server 2022 Standard (16-Core)		https://www.primelicense.com/en-gb/server/windows-server-2022-standard-16-core-1202
Server	Windows Server 2022 Datacenter (16-Core)		https://www.primelicense.com/en-gb/server/windows-server-2022-datacenter-16-core-1200
Server	Windows Server 2019 Standard (16-Core)		https://www.primelicense.com/en-gb/server/windows-server-2019-standard-16-core-1198
Server	Microsoft Remote Desktop Services (RDS) 2022		https://www.primelicense.com/en-gb/server/2022-microsoft-remote-desktop-services-rds-1208
Server	VMware Workstation Pro 17		https://www.primelicense.com/en-gb/server/vmware-workstation-pro-1375
Server	VMware Vsphere Essentials Kit Plus 7 - Lifetime Licence		https://www.primelicense.com/en-gb/server/vmware-vsphere-essentials-kit-plus-7-lifetime-licence-1434
Utility	CCleaner Professional		https://www.primelicense.com/en-gb/utility/ccleaner-professional-windows-1345
Utility	NordPass Manager		https://www.primelicense.com/en-gb/utility/nordpass-manager-1408
Utility	NordPass Premium Password Manager		https://www.primelicense.com/en-gb/utility/nordpass-premium-password-manager-1408
Utility	Ashampoo WinOptimizer 25		https://www.primelicense.com/en-gb/utility/ashampoo-25-winoptimizer-1342
Utility	Avast Cleanup Premium		https://www.primelicense.com/en-gb/utility/avast-cleanup-premium-1359
Video Editing	Pinnacle Studio 26 Ultimate		https://www.primelicense.com/en-gb/video-editing/pinnacle-studio-26-ultimate-1230
Video Editing	Wondershare Filmora 13		https://www.primelicense.com/en-gb/video-editing/12-wondershare-filmora-1361
Video Editing	Movavi Video Editor		https://www.primelicense.com/en-gb/video-editing/movavi-video-editor-1586
Video Editing	Movavi 2026 Video Suite		https://www.primelicense.com/en-gb/video-editing/movavi-2026-video-suite-1595
Vpn	Surfshark VPN		https://www.primelicense.com/en-gb/vpn/surfshark-vpn-1354
Vpn	Kaspersky VPN SecureConnection		https://www.primelicense.com/en-gb/vpn/kaspersky-vpn-secure-connection-1216
Vpn	HMA! Pro VPN		https://www.primelicense.com/en-gb/vpn/hma-vpn-1214
Vpn	Nord VPN		https://www.primelicense.com/en-gb/vpn/nordvpn-nvpnnew-1441
Vpn	AVG Secure VPN		https://www.primelicense.com/en-gb/vpn/avg-secure-vpn-1197
Vpn	CyberGhost VPN		https://www.primelicense.com/en-gb/vpn/cyberghost-vpn-1468
